Sexo,Edad,Estudios,Comunidad,Aportan_vs_Reciben,Quitan_Trabajo,Matrimonio_Hijo,Valoracion_General,Tramo_edad
Mujer,65.0,Diplomatura,Comunitat Valenciana,Tanto como aportan,Muy en desacuerdo,Acepta/ría,Positiva,Adultos Mayores
Mujer,23.0,Estudios de grado,Comunitat Valenciana,Tanto como aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Jóvenes
Hombre,42.0,FP de grado medio,Cataluña,Mucho más de lo que aportan,Muy de acuerdo,Acepta/ría,Muy negativa,Adultos
Mujer,75.0,Educación primaria,Cataluña,Mucho más de lo que aportan,Más bien en desacuerdo,(NO LEER) Depende,Negativa,Jubilados
Hombre,74.0,Bachillerato,Cataluña,Mucho más de lo que aportan,Más bien en desacuerdo,(NO LEER) Depende,Negativa,Jubilados
Hombre,62.0,Educación secundaria,Cataluña,Mucho más de lo que aportan,Muy de acuerdo,Trataría de evitarla,Muy negativa,Adultos Mayores
Hombre,30.0,Estudios de grado,Cataluña,N.S.,Muy en desacuerdo,Acepta/ría,Muy positiva,Jóvenes
Mujer,32.0,Educación secundaria,Cataluña,Mucho más de lo que aportan,Muy de acuerdo,Acepta/ría,Negativa,Adultos
Hombre,54.0,Educación secundaria,Cataluña,Más de lo que aportan,Muy en desacuerdo,Acepta/ría,Positiva,Adultos Mayores
Mujer,52.0,Educación secundaria,Cataluña,Más de lo que aportan,Más bien de acuerdo,(NO LEER) Depende,Negativa,Adultos Mayores
Mujer,52.0,Diplomatura,Cataluña,Mucho más de lo que aportan,Muy de acuerdo,Acepta/ría,Negativa,Adultos Mayores
Mujer,53.0,Educación secundaria,Andalucía,Tanto como aportan,Muy en desacuerdo,Acepta/ría,Positiva,Adultos Mayores
Mujer,58.0,Menos de 5 años de escolarización,Andalucía,Más de lo que aportan,Más bien de acuerdo,Rechazaría,Negativa,Adultos Mayores
Hombre,50.0,Menos de 5 años de escolarización,Andalucía,N.S.,Más bien de acuerdo,Acepta/ría,Positiva,Adultos
Mujer,66.0,,Andalucía,N.S.,N.S.,Acepta/ría,N.S.,Jubilados
Hombre,42.0,Educación secundaria,Andalucía,Mucho más de lo que aportan,Más bien en desacuerdo,Acepta/ría,Negativa,Adultos
Hombre,23.0,Bachillerato,Andalucía,Mucho menos de lo que aportan,Más bien en desacuerdo,Acepta/ría,Muy positiva,Jóvenes
Mujer,52.0,Educación primaria,Andalucía,Tanto como aportan,Muy de acuerdo,Rechazaría,(NO LEER) Ni positiva ni negativa,Adultos Mayores
Mujer,24.0,Estudios de grado,Andalucía,Menos de lo que aportan,Muy en desacuerdo,Acepta/ría,Muy positiva,Jóvenes
Mujer,42.0,Educación primaria,Andalucía,Más de lo que aportan,Muy de acuerdo,Acepta/ría,Negativa,Adultos
Mujer,70.0,Educación primaria,Andalucía,Más de lo que aportan,N.S.,Trataría de evitarla,(NO LEER) Ni positiva ni negativa,Jubilados
Mujer,58.0,Educación secundaria,Andalucía,N.S.,Más bien de acuerdo,Acepta/ría,Positiva,Adultos Mayores
Mujer,57.0,Educación primaria,Castilla-La Mancha,Más de lo que aportan,Muy de acuerdo,Acepta/ría,Positiva,Adultos Mayores
Mujer,51.0,Educación primaria,Castilla-La Mancha,Más de lo que aportan,Muy de acuerdo,Acepta/ría,Positiva,Adultos Mayores
Hombre,75.0,,Castilla-La Mancha,Menos de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Jubilados
Mujer,41.0,Educación primaria,Castilla-La Mancha,Tanto como aportan,Más bien de acuerdo,Acepta/ría,Positiva,Adultos
Hombre,37.0,Educación primaria,Castilla-La Mancha,Más de lo que aportan,Muy de acuerdo,Acepta/ría,Positiva,Adultos
Hombre,67.0,Educación primaria,Castilla-La Mancha,Más de lo que aportan,Muy de acuerdo,Acepta/ría,Positiva,Jubilados
Mujer,20.0,Bachillerato,Castilla-La Mancha,Más de lo que aportan,Muy de acuerdo,Acepta/ría,Positiva,Jóvenes
Mujer,43.0,FP de grado medio,Ceuta (Ciudad Autónoma de),Más de lo que aportan,Más bien de acuerdo,Trataría de evitarla,Negativa,Adultos
Mujer,45.0,Educación secundaria,Ceuta (Ciudad Autónoma de),N.S.,Más bien de acuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Adultos
Mujer,72.0,,Ceuta (Ciudad Autónoma de),Más de lo que aportan,Más bien de acuerdo,Trataría de evitarla,Negativa,Jubilados
Hombre,29.0,Bachillerato,Ceuta (Ciudad Autónoma de),Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,Negativa,Jóvenes
Hombre,65.0,Bachillerato,Ceuta (Ciudad Autónoma de),Mucho más de lo que aportan,Más bien en desacuerdo,Acepta/ría,Negativa,Adultos Mayores
Hombre,41.0,Bachillerato,Ceuta (Ciudad Autónoma de),Más de lo que aportan,Más bien de acuerdo,Acepta/ría,Negativa,Adultos
Mujer,19.0,Educación secundaria,Ceuta (Ciudad Autónoma de),Más de lo que aportan,Más bien de acuerdo,Acepta/ría,Negativa,Jóvenes
Hombre,58.0,Educación secundaria,Ceuta (Ciudad Autónoma de),Mucho más de lo que aportan,Más bien de acuerdo,Acepta/ría,Negativa,Adultos Mayores
Mujer,27.0,Educación secundaria,Cataluña,Más de lo que aportan,Muy de acuerdo,Trataría de evitarla,Negativa,Jóvenes
Hombre,78.0,Menos de 5 años de escolarización,Cataluña,Mucho más de lo que aportan,Muy de acuerdo,Trataría de evitarla,Negativa,Jubilados
Mujer,39.0,FP de grado medio,Cataluña,Mucho más de lo que aportan,Más bien de acuerdo,Trataría de evitarla,Negativa,Adultos
Mujer,45.0,Bachillerato,Cataluña,Más de lo que aportan,Más bien de acuerdo,Trataría de evitarla,Negativa,Adultos
Mujer,71.0,Educación primaria,Cataluña,Más de lo que aportan,Más bien en desacuerdo,Trataría de evitarla,Positiva,Jubilados
Hombre,33.0,Educación secundaria,Cataluña,Más de lo que aportan,Más bien de acuerdo,Acepta/ría,Negativa,Adultos
Hombre,67.0,Educación primaria,Cataluña,Mucho más de lo que aportan,Más bien de acuerdo,Trataría de evitarla,Negativa,Jubilados
Mujer,42.0,Educación secundaria,Cataluña,Más de lo que aportan,Más bien en desacuerdo,N.S.,(NO LEER) Ni positiva ni negativa,Adultos
Mujer,50.0,Educación secundaria,Cataluña,Mucho más de lo que aportan,Muy de acuerdo,Trataría de evitarla,Negativa,Adultos
Hombre,53.0,Educación secundaria,Cataluña,N.S.,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos Mayores
Mujer,70.0,Menos de 5 años de escolarización,Cataluña,N.S.,Más bien de acuerdo,Acepta/ría,Positiva,Jubilados
Hombre,55.0,Educación secundaria,Cataluña,Más de lo que aportan,Más bien de acuerdo,Trataría de evitarla,Negativa,Adultos Mayores
Mujer,67.0,Educación primaria,Cataluña,Tanto como aportan,Más bien en desacuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Jubilados
Mujer,33.0,Educación secundaria,Cataluña,Mucho más de lo que aportan,Más bien de acuerdo,Trataría de evitarla,Negativa,Adultos
Mujer,29.0,Educación secundaria,Castilla y León,Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Jóvenes
Mujer,74.0,Educación primaria,Castilla y León,N.S.,Más bien en desacuerdo,(NO LEER) Depende,Positiva,Jubilados
Mujer,56.0,Estudios de licenciatura,Castilla y León,Mucho más de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos Mayores
Hombre,24.0,Diplomatura,Castilla y León,Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Jóvenes
Hombre,61.0,Estudios de licenciatura,Castilla y León,Mucho más de lo que aportan,Más bien de acuerdo,N.S.,Positiva,Adultos Mayores
Mujer,47.0,FP de grado superior,Castilla y León,Tanto como aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos
Hombre,36.0,Bachillerato,Castilla y León,Más de lo que aportan,Más bien de acuerdo,Acepta/ría,Positiva,Adultos
Hombre,51.0,Bachillerato,Castilla y León,Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos Mayores
Mujer,53.0,FP de grado medio,Castilla y León,Más de lo que aportan,N.S.,Acepta/ría,N.S.,Adultos Mayores
Mujer,65.0,Educación primaria,Castilla y León,Tanto como aportan,Más bien de acuerdo,Acepta/ría,Positiva,Adultos Mayores
Mujer,58.0,Educación secundaria,Castilla y León,Más de lo que aportan,Más bien de acuerdo,Trataría de evitarla,Negativa,Adultos Mayores
Mujer,82.0,Educación primaria,Castilla y León,Más de lo que aportan,Más bien de acuerdo,Trataría de evitarla,Negativa,Jubilados
Mujer,30.0,Diplomatura,Castilla y León,Más de lo que aportan,Más bien de acuerdo,Acepta/ría,Positiva,Jóvenes
Hombre,79.0,Educación primaria,Castilla y León,Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Jubilados
Hombre,27.0,Educación secundaria,Castilla y León,Más de lo que aportan,Más bien de acuerdo,Trataría de evitarla,Negativa,Jóvenes
Mujer,18.0,Bachillerato,Castilla y León,Tanto como aportan,Más bien en desacuerdo,Acepta/ría,Positiva,
Hombre,76.0,Estudios de licenciatura,Castilla y León,Más de lo que aportan,Muy en desacuerdo,N.S.,N.S.,Jubilados
Mujer,39.0,Diplomatura,Castilla y León,Tanto como aportan,Más bien en desacuerdo,Acepta/ría,Muy positiva,Adultos
Hombre,54.0,Educación primaria,Castilla y León,Mucho más de lo que aportan,N.S.,N.S.,Positiva,Adultos Mayores
Hombre,55.0,FP de grado superior,Castilla y León,Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos Mayores
Hombre,37.0,Estudios de licenciatura,Castilla y León,Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,Muy positiva,Adultos
Mujer,22.0,Bachillerato,Castilla y León,Más de lo que aportan,Muy en desacuerdo,Acepta/ría,Positiva,Jóvenes
Hombre,47.0,Educación secundaria,Galicia,N.S.,Más bien de acuerdo,Acepta/ría,Positiva,Adultos
Mujer,60.0,Bachillerato,Galicia,N.S.,Más bien de acuerdo,Acepta/ría,Positiva,Adultos Mayores
Mujer,65.0,Diplomatura,Galicia,N.S.,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos Mayores
Mujer,50.0,FP de grado medio,Galicia,Tanto como aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos
Mujer,35.0,Bachillerato,Galicia,N.S.,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos
Hombre,36.0,Educación secundaria,Galicia,Tanto como aportan,Más bien en desacuerdo,Acepta/ría,N.S.,Adultos
Hombre,24.0,FP de grado medio,Galicia,N.S.,Más bien en desacuerdo,Acepta/ría,Muy positiva,Jóvenes
Mujer,64.0,,Andalucía,Tanto como aportan,Más bien de acuerdo,Trataría de evitarla,(NO LEER) Ni positiva ni negativa,Adultos Mayores
Mujer,44.0,,Andalucía,Más de lo que aportan,Más bien de acuerdo,Trataría de evitarla,Positiva,Adultos
Mujer,34.0,Educación secundaria,Andalucía,Tanto como aportan,Más bien de acuerdo,Trataría de evitarla,(NO LEER) Ni positiva ni negativa,Adultos
Hombre,73.0,Educación primaria,Andalucía,Tanto como aportan,Más bien de acuerdo,Trataría de evitarla,(NO LEER) Ni positiva ni negativa,Jubilados
Mujer,73.0,,Andalucía,Tanto como aportan,Más bien de acuerdo,Trataría de evitarla,(NO LEER) Ni positiva ni negativa,Jubilados
Hombre,60.0,Educación secundaria,Andalucía,Tanto como aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos Mayores
Hombre,50.0,Educación secundaria,Andalucía,Más de lo que aportan,Más bien en desacuerdo,Rechazaría,Positiva,Adultos
Hombre,31.0,Educación secundaria,Andalucía,Tanto como aportan,Más bien de acuerdo,Trataría de evitarla,Negativa,Adultos
Hombre,24.0,Estudios de grado,Andalucía,Tanto como aportan,Más bien en desacuerdo,Acepta/ría,Muy positiva,Jóvenes
Mujer,45.0,Bachillerato,Andalucía,Tanto como aportan,Más bien de acuerdo,Rechazaría,Muy positiva,Adultos
Mujer,36.0,Educación primaria,Andalucía,Menos de lo que aportan,Más bien de acuerdo,Trataría de evitarla,Negativa,Adultos
Mujer,57.0,Educación secundaria,Andalucía,Más de lo que aportan,Muy de acuerdo,Trataría de evitarla,N.S.,Adultos Mayores
Mujer,27.0,Estudios de licenciatura,Andalucía,Mucho más de lo que aportan,Más bien de acuerdo,Acepta/ría,Muy negativa,Jóvenes
Hombre,22.0,FP de grado medio,Andalucía,Más de lo que aportan,Muy de acuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Jóvenes
Hombre,79.0,Educación primaria,Andalucía,Tanto como aportan,Más bien de acuerdo,Trataría de evitarla,Muy positiva,Jubilados
Hombre,43.0,FP de grado medio,Andalucía,Mucho más de lo que aportan,Muy de acuerdo,Trataría de evitarla,(NO LEER) Ni positiva ni negativa,Adultos
Mujer,66.0,Educación secundaria,Andalucía,N.S.,Más bien en desacuerdo,Acepta/ría,N.S.,Jubilados
Hombre,55.0,Bachillerato,Andalucía,Tanto como aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos Mayores
Hombre,62.0,Educación primaria,Andalucía,Tanto como aportan,Más bien de acuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Adultos Mayores
Hombre,82.0,Educación primaria,Galicia,Más de lo que aportan,Más bien de acuerdo,Trataría de evitarla,Negativa,Jubilados
Mujer,27.0,Máster oficial universitario,Galicia,Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Jóvenes
Mujer,52.0,FP de grado medio,Galicia,Más de lo que aportan,Más bien de acuerdo,Trataría de evitarla,(NO LEER) Ni positiva ni negativa,Adultos Mayores
Mujer,41.0,Educación secundaria,Galicia,Mucho más de lo que aportan,Muy de acuerdo,(NO LEER) Depende,N.S.,Adultos
Hombre,59.0,Arquitectura o ingeniería técnicas,Galicia,Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos Mayores
Mujer,79.0,Educación secundaria,Aragón,N.S.,N.S.,N.S.,(NO LEER) Ni positiva ni negativa,Jubilados
Hombre,27.0,FP de grado superior,Aragón,Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Jóvenes
Hombre,23.0,FP de grado superior,Aragón,Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Jóvenes
Mujer,43.0,FP de grado medio,Aragón,Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,Negativa,Adultos
Mujer,52.0,Diplomatura,Aragón,Tanto como aportan,Muy de acuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Adultos Mayores
Mujer,26.0,FP de grado medio,Aragón,Tanto como aportan,Muy de acuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Jóvenes
Mujer,63.0,Educación primaria,Aragón,Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Adultos Mayores
Hombre,70.0,Educación primaria,Asturias (Principado de),Más de lo que aportan,Más bien de acuerdo,Trataría de evitarla,(NO LEER) Ni positiva ni negativa,Jubilados
Mujer,68.0,Educación primaria,Asturias (Principado de),Mucho más de lo que aportan,Muy de acuerdo,Rechazaría,Muy negativa,Jubilados
Hombre,64.0,FP de grado superior,Asturias (Principado de),Más de lo que aportan,Muy en desacuerdo,Acepta/ría,Muy positiva,Adultos Mayores
Hombre,46.0,FP de grado medio,Asturias (Principado de),Más de lo que aportan,Más bien de acuerdo,Acepta/ría,Muy positiva,Adultos
Mujer,31.0,FP de grado medio,Asturias (Principado de),N.S.,Muy en desacuerdo,Acepta/ría,Positiva,Adultos
Hombre,25.0,Educación secundaria,Asturias (Principado de),Menos de lo que aportan,Muy en desacuerdo,Acepta/ría,Positiva,Jóvenes
Hombre,43.0,FP de grado superior,Asturias (Principado de),Mucho más de lo que aportan,Más bien en desacuerdo,Acepta/ría,Negativa,Adultos
Mujer,80.0,Educación primaria,Asturias (Principado de),Tanto como aportan,Muy en desacuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Jubilados
Mujer,61.0,Educación primaria,Castilla-La Mancha,Mucho menos de lo que aportan,Más bien de acuerdo,N.S.,Negativa,Adultos Mayores
Hombre,73.0,Educación primaria,Castilla-La Mancha,Mucho menos de lo que aportan,Muy de acuerdo,N.S.,Negativa,Jubilados
Hombre,43.0,Educación secundaria,Castilla-La Mancha,Tanto como aportan,Más bien de acuerdo,Trataría de evitarla,Positiva,Adultos
Mujer,65.0,Menos de 5 años de escolarización,Castilla-La Mancha,N.S.,Muy de acuerdo,N.S.,Positiva,Adultos Mayores
Mujer,53.0,Educación primaria,Castilla-La Mancha,N.S.,Muy de acuerdo,N.S.,Positiva,Adultos Mayores
Hombre,51.0,Educación secundaria,Castilla-La Mancha,Menos de lo que aportan,Muy de acuerdo,Trataría de evitarla,Positiva,Adultos Mayores
Mujer,76.0,,Castilla-La Mancha,N.S.,N.S.,N.S.,N.S.,Jubilados
Mujer,39.0,FP de grado medio,Castilla-La Mancha,Menos de lo que aportan,N.S.,N.S.,Negativa,Adultos
Hombre,26.0,FP de grado medio,Castilla-La Mancha,Menos de lo que aportan,Más bien de acuerdo,Trataría de evitarla,(NO LEER) Ni positiva ni negativa,Jóvenes
Mujer,44.0,FP grado inicial,Andalucía,N.S.,Más bien de acuerdo,Acepta/ría,Positiva,Adultos
Hombre,47.0,FP de grado medio,Andalucía,Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos
Hombre,62.0,Educación secundaria,Andalucía,N.S.,Más bien de acuerdo,Acepta/ría,Positiva,Adultos Mayores
Mujer,45.0,Estudios de licenciatura,Andalucía,Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos
Hombre,74.0,Arquitectura o ingeniería superiores,Andalucía,Más de lo que aportan,Más bien de acuerdo,Acepta/ría,Positiva,Jubilados
Hombre,43.0,Educación primaria,Andalucía,Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Adultos
Mujer,31.0,FP grado inicial,Andalucía,N.S.,Más bien de acuerdo,Acepta/ría,N.S.,Adultos
Mujer,74.0,Educación primaria,Andalucía,N.S.,Más bien de acuerdo,Rechazaría,N.S.,Jubilados
Hombre,28.0,Educación secundaria,Andalucía,Menos de lo que aportan,Muy en desacuerdo,Acepta/ría,Positiva,Jóvenes
Mujer,40.0,Diplomatura,Asturias (Principado de),N.S.,Más bien en desacuerdo,N.S.,N.S.,Adultos
Mujer,68.0,Bachillerato,Asturias (Principado de),Más de lo que aportan,Más bien de acuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Jubilados
Hombre,50.0,FP de grado medio,Asturias (Principado de),Mucho más de lo que aportan,Más bien en desacuerdo,N.S.,Negativa,Adultos
Mujer,46.0,FP de grado medio,Asturias (Principado de),Más de lo que aportan,Muy en desacuerdo,Acepta/ría,Positiva,Adultos
Mujer,69.0,Educación secundaria,Asturias (Principado de),Mucho más de lo que aportan,Más bien en desacuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Jubilados
Hombre,30.0,Estudios de grado,Asturias (Principado de),N.S.,Muy en desacuerdo,Acepta/ría,Positiva,Jóvenes
Mujer,55.0,Educación secundaria,Asturias (Principado de),Más de lo que aportan,Más bien de acuerdo,Acepta/ría,Positiva,Adultos Mayores
Mujer,18.0,Bachillerato,Asturias (Principado de),N.S.,Más bien en desacuerdo,Acepta/ría,Positiva,
Hombre,43.0,FP de grado medio,Asturias (Principado de),Mucho más de lo que aportan,Muy en desacuerdo,Acepta/ría,Negativa,Adultos
Hombre,29.0,Educación primaria,Castilla-La Mancha,Mucho más de lo que aportan,Más bien de acuerdo,Acepta/ría,Positiva,Jóvenes
Hombre,20.0,FP grado inicial,Castilla-La Mancha,Mucho más de lo que aportan,Más bien de acuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Jóvenes
Hombre,52.0,Educación primaria,Castilla-La Mancha,Mucho más de lo que aportan,Más bien de acuerdo,Acepta/ría,Positiva,Adultos Mayores
Mujer,58.0,Educación secundaria,Castilla-La Mancha,Más de lo que aportan,Muy de acuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Adultos Mayores
Mujer,75.0,FP de grado medio,Castilla-La Mancha,Mucho más de lo que aportan,Más bien de acuerdo,N.S.,Negativa,Jubilados
Mujer,50.0,Educación primaria,Castilla-La Mancha,Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos
Mujer,37.0,Educación secundaria,Galicia,Tanto como aportan,Más bien de acuerdo,Trataría de evitarla,Positiva,Adultos
Hombre,67.0,Educación secundaria,Galicia,N.S.,Más bien en desacuerdo,Acepta/ría,Positiva,Jubilados
Mujer,55.0,Diplomatura,Galicia,Más de lo que aportan,Más bien en desacuerdo,(NO LEER) Depende,Positiva,Adultos Mayores
Mujer,46.0,FP de grado superior,Galicia,N.S.,Más bien de acuerdo,Acepta/ría,Positiva,Adultos
Mujer,18.0,Bachillerato,Galicia,Tanto como aportan,Más bien en desacuerdo,(NO LEER) Depende,Positiva,
Hombre,62.0,Educación secundaria,Madrid (Comunidad de),Más de lo que aportan,Muy de acuerdo,Acepta/ría,Negativa,Adultos Mayores
Hombre,29.0,Bachillerato,Madrid (Comunidad de),Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Jóvenes
Mujer,81.0,Educación primaria,Madrid (Comunidad de),Mucho más de lo que aportan,Más bien de acuerdo,Rechazaría,Muy negativa,Jubilados
Mujer,57.0,FP de grado superior,Madrid (Comunidad de),Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos Mayores
Mujer,69.0,Educación secundaria,Madrid (Comunidad de),Menos de lo que aportan,Muy en desacuerdo,Acepta/ría,Muy positiva,Jubilados
Hombre,80.0,Educación primaria,Madrid (Comunidad de),N.S.,Más bien en desacuerdo,Acepta/ría,Positiva,Jubilados
Hombre,43.0,FP de grado superior,Madrid (Comunidad de),Tanto como aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos
Mujer,27.0,FP de grado superior,Madrid (Comunidad de),Tanto como aportan,Muy en desacuerdo,Acepta/ría,Positiva,Jóvenes
Mujer,38.0,Diplomatura,Madrid (Comunidad de),Menos de lo que aportan,Muy en desacuerdo,Acepta/ría,Positiva,Adultos
Mujer,54.0,FP de grado medio,Comunitat Valenciana,Más de lo que aportan,Muy de acuerdo,Acepta/ría,N.S.,Adultos Mayores
Mujer,33.0,FP de grado medio,Comunitat Valenciana,Mucho más de lo que aportan,Muy de acuerdo,Acepta/ría,Positiva,Adultos
Mujer,63.0,Educación secundaria,Comunitat Valenciana,Más de lo que aportan,Muy en desacuerdo,Acepta/ría,Negativa,Adultos Mayores
Hombre,68.0,Educación secundaria,Comunitat Valenciana,Tanto como aportan,Muy en desacuerdo,Acepta/ría,Positiva,Jubilados
Mujer,67.0,Educación secundaria,Comunitat Valenciana,Más de lo que aportan,Muy de acuerdo,Trataría de evitarla,Negativa,Jubilados
Mujer,43.0,Educación secundaria,Comunitat Valenciana,Mucho más de lo que aportan,Muy de acuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Adultos
Hombre,52.0,Educación secundaria,Comunitat Valenciana,Mucho más de lo que aportan,Muy de acuerdo,Acepta/ría,Positiva,Adultos Mayores
Hombre,60.0,Educación secundaria,Comunitat Valenciana,Tanto como aportan,Más bien de acuerdo,Trataría de evitarla,Positiva,Adultos Mayores
Hombre,43.0,Educación secundaria,Comunitat Valenciana,Más de lo que aportan,Muy de acuerdo,Rechazaría,Negativa,Adultos
Hombre,71.0,FP grado inicial,Comunitat Valenciana,Tanto como aportan,Más bien de acuerdo,Acepta/ría,Positiva,Jubilados
Hombre,48.0,FP de grado superior,Comunitat Valenciana,Mucho más de lo que aportan,Muy de acuerdo,Rechazaría,Negativa,Adultos
Mujer,48.0,Educación secundaria,Comunitat Valenciana,Tanto como aportan,Muy de acuerdo,Trataría de evitarla,Positiva,Adultos
Mujer,59.0,Educación secundaria,Comunitat Valenciana,Menos de lo que aportan,Más bien en desacuerdo,Acepta/ría,Muy positiva,Adultos Mayores
Mujer,26.0,Arquitectura o ingeniería técnicas,Comunitat Valenciana,Más de lo que aportan,Muy de acuerdo,Acepta/ría,N.S.,Jóvenes
Mujer,65.0,Menos de 5 años de escolarización,Comunitat Valenciana,Mucho más de lo que aportan,Muy de acuerdo,Rechazaría,Muy negativa,Adultos Mayores
Hombre,24.0,FP de grado superior,Comunitat Valenciana,Más de lo que aportan,Más bien de acuerdo,Acepta/ría,Positiva,Jóvenes
Mujer,48.0,Bachillerato,Comunitat Valenciana,Más de lo que aportan,Más bien de acuerdo,Acepta/ría,N.S.,Adultos
Hombre,20.0,FP de grado medio,Andalucía,Más de lo que aportan,Muy de acuerdo,Acepta/ría,Negativa,Jóvenes
Mujer,68.0,,Andalucía,Tanto como aportan,Más bien de acuerdo,(NO LEER) Depende,(NO LEER) Ni positiva ni negativa,Jubilados
Mujer,60.0,Educación primaria,Andalucía,Más de lo que aportan,Muy de acuerdo,Rechazaría,Muy negativa,Adultos Mayores
Hombre,50.0,Educación secundaria,Andalucía,Más de lo que aportan,Muy de acuerdo,Acepta/ría,Negativa,Adultos
Hombre,27.0,Educación primaria,Andalucía,Mucho más de lo que aportan,Muy de acuerdo,Rechazaría,Negativa,Jóvenes
Hombre,61.0,Educación primaria,Andalucía,N.S.,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos Mayores
Mujer,51.0,Educación secundaria,Andalucía,Mucho más de lo que aportan,Muy de acuerdo,Trataría de evitarla,Negativa,Adultos Mayores
Mujer,43.0,Bachillerato,Cataluña,N.S.,N.S.,Acepta/ría,Positiva,Adultos
Mujer,67.0,Diplomatura,Cataluña,Mucho más de lo que aportan,Muy de acuerdo,Acepta/ría,Positiva,Jubilados
Mujer,65.0,Bachillerato,Cataluña,Tanto como aportan,Muy en desacuerdo,Acepta/ría,Positiva,Adultos Mayores
Hombre,58.0,Títulos propios de posgrado,Cataluña,Tanto como aportan,Muy en desacuerdo,Acepta/ría,Positiva,Adultos Mayores
Hombre,45.0,Diplomatura,Cataluña,Mucho más de lo que aportan,Muy de acuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Adultos
Hombre,26.0,Máster oficial universitario,Cataluña,Más de lo que aportan,Más bien de acuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Jóvenes
Mujer,28.0,Arquitectura o ingeniería técnicas,Cataluña,Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Jóvenes
Hombre,71.0,Educación primaria,Cataluña,Más de lo que aportan,Más bien de acuerdo,Rechazaría,(NO LEER) Ni positiva ni negativa,Jubilados
Hombre,53.0,Bachillerato,Cataluña,Más de lo que aportan,Muy en desacuerdo,Acepta/ría,Positiva,Adultos Mayores
Mujer,79.0,Menos de 5 años de escolarización,Cataluña,Mucho más de lo que aportan,Muy de acuerdo,Trataría de evitarla,Muy negativa,Jubilados
Hombre,70.0,Menos de 5 años de escolarización,Cataluña,Mucho más de lo que aportan,Más bien de acuerdo,Rechazaría,Muy negativa,Jubilados
Hombre,41.0,Bachillerato,Cataluña,Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos
Mujer,45.0,FP de grado medio,Cataluña,Mucho más de lo que aportan,Muy de acuerdo,Trataría de evitarla,Negativa,Adultos
Mujer,28.0,Estudios de grado,Cataluña,Menos de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Jóvenes
